Pathway	New pathway name	Norm_GSM300177	Norm_GSM300181	Norm_GSM300189	Norm_GSM300192	Norm_GSM300196	Norm_GSM300204	Norm_GSM300214	Norm_GSM300222	Norm_GSM300234	Norm_GSM300238	Norm_GSM300242	Norm_GSM300248	Norm_GSM300267	Norm_GSM300285	Norm_GSM300324	Norm_GSM300328	Norm_GSM300332	Norm_GSM300338	Tumour_GSM1176196	Tumour_GSM1176197	Tumour_GSM1176198	Tumour_GSM1176199	Tumour_GSM1176200	Tumour_GSM1176201	Tumour_GSM1176202	Tumour_GSM1176203	Tumour_GSM1176204	Tumour_GSM1176205	Tumour_GSM1176206	Tumour_GSM1176207	Tumour_GSM1176208	Tumour_GSM1176209	Tumour_GSM1176210	p-value_Mean	q-value_Mean	Difference	|Difference|
ILK_Pathway_G2_phase_arrest	ILK Pathway (G2-phase arrest)	-0.620318505	3.569919737	0.120912073	-2.036193797	-1.714344232	-0.570789761	0.71679689	-0.287987485	1.131499717	-0.350770507	-8.048338277	9.223874649	2.147895583	-0.822042618	-0.893218106	1.420264555	-1.450937346	-2.336932713	9.849871642	3.569919737	7.303533182	3.906341826	4.936862089	7.73733436	14.25476706	2.655180173	10.15082304	-0.652525993	5.940454898	7.040828152	7.463091622	-0.499000608	3.423518921	0.000210645	0.002536902	5.849883903	5.849883903
ILK_Pathway_Regulation_of_intermediate_filaments	ILK Pathway (Regulation of intermediate filaments)	-0.620318505	3.569919737	0.120912073	-2.036193797	-1.714344232	-0.570789761	0.71679689	-0.287987485	1.131499717	-0.350770507	-8.048338277	9.223874649	2.147895583	-0.822042618	-0.893218106	1.420264555	-1.450937346	-2.336932713	9.849871642	3.569919737	7.303533182	3.906341826	4.936862089	7.73733436	14.25476706	2.655180173	10.15082304	-0.652525993	5.940454898	7.040828152	7.463091622	-0.499000608	3.423518921	0.000210645	0.002536902	5.849883903	5.849883903
ILK_Pathway_Regulation_of_junction_assembly_of_desmosomes	ILK Pathway (Regulation of junction assembly of desmosomes)	-0.620318505	3.569919737	0.120912073	-2.036193797	-1.714344232	-0.570789761	0.71679689	-0.287987485	1.131499717	-0.350770507	-8.048338277	9.223874649	2.147895583	-0.822042618	-0.893218106	1.420264555	-1.450937346	-2.336932713	9.849871642	3.569919737	7.303533182	3.906341826	4.936862089	7.73733436	14.25476706	2.655180173	10.15082304	-0.652525993	5.940454898	7.040828152	7.463091622	-0.499000608	3.423518921	0.000210645	0.002536902	5.849883903	5.849883903
Integrin_Signaling_Pathway	Integrin SIgnaling Main Pathway	-0.620318505	3.569919737	-1.919909156	-1.324550694	-1.096663542	-1.034206941	0.787463036	0.808123611	1.131499717	0.189027676	-9.428514218	10.15362098	1.83460769	-0.802616167	-1.439116761	1.420264555	-1.574310266	-1.051294159	8.223891803	3.569919737	8.224775472	3.763708284	4.232343196	10.44547167	15.26659211	2.655180173	11.08244649	-0.652525993	6.925060455	6.823283027	6.905225092	0.116801486	3.779059657	0.000117869	0.002536902	6.112802922	6.112802922
Integrin_Signaling_Pathway_Cell_survival	Integrin SIgnaling Pathway (Cell survival)	0	0.44570282	1.050517309	-1.62478869	0.716860423	0.029582961	0.934596122	1.933555931	1.131499717	1.123321589	-7.990872797	3.45897848	2.001421548	-1.064865466	-1.194225726	0.327895441	-0.692332486	-2.012817574	4.844328169	0.44570282	5.982878024	2.761874334	3.788809679	5.130221156	7.646240753	2.12731388	6.079113763	0.440909554	4.812078954	4.176231241	3.636412952	-0.004464075	3.606619009	0.000182525	0.002536902	3.777505259	3.777505259
JNK_Pathway	JNK Main Pathway	0.037088937	-0.004196823	0.085166886	1.259611426	5.507415952	-0.733056319	-1.208629064	1.916104255	0.847557479	-0.543740056	-9.402446021	-1.37364781	2.512830425	-3.957684995	-2.004709018	0.617561808	0.460747661	-2.336977748	0.08126308	-0.004196823	9.879519564	2.712759879	7.243091737	8.951045195	12.21206743	4.011882755	9.906137914	0.130534612	6.463258076	5.18202231	5.349205707	1.888570807	11.11413861	0.000182525	0.002536902	6.137031336	6.137031336
MAPK_Family_Pathway	MAPK Family Main Pathway	0.489410288	0.592436175	2.003826842	0.655089855	6.374108628	-1.4499032	-0.839692035	1.70888913	1.348439925	-0.430417571	-10.65411924	5.065469215	2.149080694	-4.754397602	-1.999030403	1.715288688	0.600075816	-4.07152438	5.498341302	0.592436175	10.66283293	3.910980914	6.913617017	9.229911504	13.22677593	4.619515221	13.27356519	-0.912660581	7.356184569	6.701236609	10.41063695	2.296346242	8.148124934	0.000136536	0.002536902	6.878354614	6.878354614
MAPK_Signaling_Pathway	MAPK Signaling Main Pathway	-1.072639856	2.02821944	-3.730186686	-2.257678419	0.21665996	-2.031972923	0.342624149	1.150478155	0.72773946	0.629401633	-15.88918318	10.85901032	5.24710134	-1.043309411	-1.374682228	2.605682105	-1.518362006	-2.617463596	7.604851068	2.02821944	15.64280062	2.960495002	11.65145655	15.54173596	22.89278676	2.205654887	18.10458627	-1.160650848	11.56437176	9.161811927	11.64415533	0.207649201	9.899930102	0.000182525	0.002536902	9.75935481	9.75935481
p38_m_Signaling_Pathway	p38 (Negative) Main Signaling Pathway	-0.250713906	0.650036294	-3.579026217	0.644803356	10.09773165	-2.279456532	0.207205341	4.928595964	0.62479034	1.267002377	-17.52910735	8.746256397	4.701262434	-7.150708172	-3.727198369	1.070910156	-1.113235994	-5.296514031	5.121732521	0.650036294	13.94123379	4.550615297	11.73098218	12.74064136	18.1928842	7.377639057	18.33645894	-0.404535727	12.73561843	10.07204881	12.22188335	1.297276834	12.92652817	0.000157963	0.002536902	9.876478805	9.876478805
p38_p_Signaling_Pathway	p38 (Positive) Main Signaling Pathway	-0.250713906	0.650036294	-3.579026217	0.644803356	10.09773165	-2.279456532	0.207205341	4.928595964	0.62479034	1.267002377	-17.52910735	8.746256397	4.701262434	-7.150708172	-3.727198369	1.070910156	-1.113235994	-5.296514031	5.121732521	0.650036294	13.94123379	4.550615297	11.73098218	12.74064136	18.1928842	7.377639057	18.33645894	-0.404535727	12.73561843	10.07204881	12.22188335	1.297276834	12.92652817	0.000157963	0.002536902	9.876478805	9.876478805
PAK_Pathway	PAK Main Pathway	-1.206992483	1.159775172	-1.053123024	-0.06453695	0.693903279	-1.528107492	-0.067983389	2.081912175	1.044269335	-1.427707625	-9.437953526	5.830180544	5.572167981	-3.03841314	-1.040229288	1.613529067	0.151876986	-2.444181798	7.250988043	1.159775172	9.917060449	5.541003284	5.193027697	6.773223005	12.65077036	5.858694015	10.96439199	0.705891736	6.79429752	8.03850184	9.492917113	-0.482808552	8.093149031	6.46571E-05	0.002536902	6.705704079	6.705704079
PAK_Pathway_Actin_Cytoskeleton	PAK Pathway (Actin Cytoskeleton)	-1.206992483	1.715915277	0.399108088	0.38681443	2.009951796	-0.909825921	-0.114459918	1.891386138	1.044269335	-0.938633631	-5.816364867	1.046566091	2.938587376	-2.774284864	-1.167945076	0.58858158	0.285606938	-3.017620881	3.922827389	1.715915277	3.330034927	3.382370853	2.728792749	3.336521829	6.091123904	3.809407062	6.535211737	0	2.962115448	3.625205442	6.1697661	0.590627026	3.197633725	3.47675E-05	0.002536902	3.628689153	3.628689153
TGF_beta_Pathway	TGF beta Main Pathway	-0.017019634	0.592436175	1.957550516	0.036333085	7.39622428	-0.909825921	-0.370195083	1.163837761	0.812702285	-1.478431815	-9.944964513	4.697407279	4.636776861	-5.111455077	-2.477314736	0.105503016	0.652431853	-3.90116297	7.414003866	0.592436175	10.41715875	5.003122604	8.663836882	6.086507838	14.11506028	4.623137988	12.5315274	-0.404535727	6.266240953	5.689858267	10.156744	0.68147474	9.506683675	0.000210645	0.002536902	6.876170881	6.876170881
ILK_Pathway	ILK Main Pathway	-1.51139713	1.966524007	-2.391413223	-1.548722123	-0.241105772	-1.620332164	-0.20635985	-0.675339391	0.238352976	1.282286286	-11.1842495	7.695409723	2.787616078	-0.480489096	-0.828783572	1.932323346	-0.371374229	-2.35105465	6.972548803	1.966524007	9.613396127	3.596471672	8.989662142	10.61630324	16.42846111	0.690695942	10.57890842	-1.184062574	6.758959492	8.765655342	7.069953807	-0.408152894	6.339772334	0.000242797	0.002586723	6.870123592	6.870123592
ILK_Pathway_Cytoskeletal_reorganization	ILK Pathway (Cytoskeletal reorganization)	-0.620318505	3.569919737	-1.101001938	-2.036193797	-1.163000414	-0.570789761	0.71679689	0.201523652	1.131499717	0.189027676	-8.262239415	8.962027268	1.563776274	-0.386077771	-0.893218106	1.420264555	-2.095137115	-2.368582539	8.864374283	3.569919737	6.598442424	3.874299635	4.57157929	7.73733436	13.43124127	2.655180173	9.491858803	-0.652525993	5.633165087	6.996275675	6.620761245	-0.499000608	2.464264105	0.000242797	0.002586723	5.520573721	5.520573721
ILK_Pathway_Wound_Healing	ILK Pathway (Wound healing)	-0.620318505	3.569919737	0.120912073	-2.036193797	-1.714344232	-0.570789761	0.71679689	-0.287987485	1.131499717	0.318984177	-9.015146204	9.223874649	3.125522543	-1.375786386	-0.893218106	1.420264555	-1.450937346	-2.336932713	9.849871642	3.569919737	7.830706859	4.696579874	4.936862089	8.614762105	15.6217533	2.655180173	10.96320787	-0.652525993	6.441082443	7.040828152	8.292126385	-0.499000608	3.423518921	0.000242797	0.002586723	6.223095985	6.223095985
cAMP_Pathway_Glycolysis	cAMP Pathway (Glycolysis)	0	0.493990459	0	2.047342113	-1.498328303	0	0.496914018	0.40941222	0	-1.353768502	-2.463165996	1.748833559	0.498766172	-0.255877886	0	-0.699111773	0	-1.323478735	3.288010277	0.493990459	2.636513551	0.479253297	1.744716801	2.598122581	4.242442174	0.482831728	4.254535786	-0.69115105	0.944721339	2.481609719	0.86305211	1.513636844	2.290545112	0.000321377	0.003179335	1.946992752	1.946992752
PPAR_Pathway	PPAR Main Pathway	0	-0.39970623	-0.950366391	-2.091352552	1.468573491	0.029582961	0.235967544	1.975626962	0.912191991	1.123321589	-4.580966041	0.758166708	-0.395035725	-0.231788675	-0.102428416	0.327895441	-0.692332486	-1.15986762	2.97269287	-0.39970623	3.573675003	0.374031522	2.710529734	3.648026591	4.386885733	1.719927466	4.983707434	0.440909554	2.777135931	3.384674183	4.720315772	0.040959783	0.718074278	0.000321377	0.003179335	2.613040278	2.613040278
Interferon_Pathway_Gene_Expression	Interferon Pathway (Gene expression)	0	-0.567338997	-0.474461596	0	0.889969979	0	-0.492165217	-0.542197102	-0.487176546	0	1.32211444	0	0	0	0	0	0	0	-1.202467914	-0.567338997	-0.70251415	-0.462097316	-0.557291973	-0.515314237	-0.667564239	-0.407386414	-1.137379017	0	-0.550651158	-0.543055445	-0.603642421	0	-0.617928549	0.000369058	0.003297714	-0.549461287	0.549461287
MAPK_Family_Pathway_Cytoskeleton	MAPK Family Pathway (Cytoskeleton)	0	-0.567338997	-0.474461596	0	0.889969979	0	-0.492165217	-0.542197102	-0.487176546	0	1.32211444	0	0	0	0	0	0	0	-1.202467914	-0.567338997	-0.70251415	-0.462097316	-0.557291973	-0.515314237	-0.667564239	-0.407386414	-1.137379017	0	-0.550651158	-0.543055445	-0.603642421	0	-0.617928549	0.000369058	0.003297714	-0.549461287	0.549461287
STAT3_Pathway	STAT3 Main Pathway	-0.622239651	0.878646795	-0.433813934	0.274739332	6.493311515	-0.709706217	-0.88126588	3.63307462	0.161070672	0.687106631	-7.824086199	5.488084743	1.432933428	-6.05282064	-2.94962903	1.208632153	-0.003170571	-3.793951586	4.588224095	0.878646795	6.25933856	4.144384694	4.694304922	5.530558199	10.3557944	4.432209341	9.684381241	0.130534612	6.977493181	6.337987392	4.638481447	0.590627026	5.070279702	0.000369058	0.003297714	5.121609919	5.121609919
IL_6_Pathway	IL-6 Main Pathway	-2.030839579	1.715915277	1.195368166	0.698394234	0.520722762	-0.909825921	-0.186776119	0.993114387	-0.407509324	-0.989827284	-4.892921236	3.83177038	5.078304513	-2.838177704	-0.879114496	1.238362367	1.380603738	-1.880144093	4.7798137	1.715915277	3.300081549	3.213810781	2.199140354	2.050557739	9.505806153	1.828968052	6.92295623	-0.404535727	3.079665672	3.863777791	2.953116786	0.590627026	4.055953184	0.000423291	0.003664114	3.21940919	3.21940919
AHR_Pathway_AHR_Degradation	AHR Pathway (AHR Degradation) 	0.406079941	0.638219264	0.409371413	-0.573295862	-1.252188658	-0.129647818	0.421328112	0	0.481274357	0.470938023	-0.893124495	0.076271745	1.522419159	-1.401317393	-0.646154166	0.513497538	-0.401404614	-0.755899067	2.337636727	0.638219264	0.971571152	0.971571152	0.59655262	1.439844398	1.818977977	1.018279295	1.541129172	-0.430139017	2.197737613	1.572056112	2.022552329	0.481274357	-0.773127312	0.000453117	0.00369157	1.15547753	1.15547753
cAMP_Pathway_Degradation_of_Cell_Cycle_Regulators	cAMP Pathway (Degradation of Cell Cycle Regulators)	0.494596908	0.494596908	0.494596908	0.432367045	0.744911531	0.494596908	0.494596908	0.494596908	0.494596908	-0.481436558	-0.78665629	-0.538588468	-0.480497931	-0.481436558	-0.481436558	-0.481436558	-0.481436558	-0.481436558	0.726371577	0.494596908	1.178114091	0.494596908	1.189449211	0.494596908	1.244913869	0.524132359	0.955985412	0.494596908	0.494596908	0.494596908	1.104826011	0.494596908	0.494596908	0.000453117	0.00369157	0.72842147	0.72842147
Caspase_Cascade	Caspase Cascade Main	-0.570681772	-0.902490867	-1.216662334	0.577306174	-1.510883903	1.694831292	-2.051521967	-1.696227537	-0.53573764	0.559989431	12.75434246	-8.088266368	-2.307911846	0.240478242	0.125851506	0.28716629	-0.575056562	3.984442398	-7.458277241	-0.902490867	-13.00150483	-4.007956352	-9.872969301	-7.675040067	-12.79231412	-2.456455339	-11.43573401	0.508124855	-10.7507479	-5.407595858	-9.224704142	0.368007909	-6.893539105	0.000484895	0.003837597	-6.776266813	6.776266813
HGF_Pathway	HGF Main Pathway	0	0.44570282	-0.781004458	-1.62478869	2.497205971	0.029582961	0.440909554	1.95759055	1.131499717	1.663119772	-5.258772576	1.957375594	0.396271298	-0.62890062	-1.194225726	0.327895441	-1.336532255	-1.297186747	1.720263054	0.44570282	2.72918326	0.721865297	1.351540329	4.015405505	5.126706662	2.12731388	3.898117905	0.440909554	2.338416707	2.265306387	2.794082575	-0.004464075	2.211166648	0.000518742	0.003991429	2.216226511	2.216226511
cAMP_Pathway_Myocardial_Contraction	cAMP Pathway (Myocardial Contraction)	0.476745865	-2.329629354	-4.199626767	2.181076816	1.91459929	1.955912176	-1.736651256	1.099240494	0.687334099	1.011137921	5.51718795	-5.638048892	-1.292459685	0.216026251	0	0.960525049	-0.785175677	2.454144403	-9.731212932	-2.329629354	-5.983052838	-5.122339645	-6.259083826	-1.966148153	-7.91600961	-2.936346576	-4.744863931	0.57597455	-4.114137461	-2.860762193	-7.634425323	1.712844042	-1.531963216	0.00055478	0.004044055	-4.194540358	4.194540358
Cellular_Anti_Apoptosis_Pathway	Cellular Anti Apoptosis Main Pathway	0	-0.556140105	-0.655570799	-0.933127725	-0.066752488	-0.54007728	1.006082813	0	0.53573764	0	-7.644258742	3.287861113	2.518092194	-0.448877207	0	0.673358759	0.591843733	-1.530685551	4.637107926	-0.556140105	8.618273939	1.123420313	7.194716758	5.034144509	8.595142084	0.456373835	7.124818799	-0.508124855	6.85710836	6.103081092	8.098790814	0.090847715	5.102680247	0.00055478	0.004044055	4.740511298	4.740511298
cAMP_Pathway_Axonal_Growth	cAMP Pathway (Axonal Growth)	0	0.665378192	0	-0.633640186	-0.82237129	0	0	0	0	0	-1.083938893	0	1.004329105	0.500374306	0.639281327	0	0	0	0.665604294	0.665378192	1.811560174	0.949204118	0.681422279	0.527746195	1.617004361	0.4509629	1.286748435	0	0	1.102681354	1.01992872	0	1.652144745	0.00059314	0.004212812	0.81372502	0.81372502
Androgen_receptor_Pathway_AR_Degradation	Androgen Receptor Pathway (Degradation)	0.44308151	-0.638219264	-1.392133558	0	-0.379513789	1.77409118	-0.421328112	0.584268133	0	-1.23603292	4.104417753	-2.55163172	-2.45422355	1.381669846	0.646154166	-0.998269945	0.401404614	1.681030149	-4.176289581	-0.638219264	-1.968403764	-1.464027455	-2.813400448	-2.19639397	-4.848186702	-2.093319063	-2.973518714	1.748162518	-3.132845625	-3.112989718	-3.195451598	0	-2.408593568	0.000633956	0.004390147	-2.270718713	2.270718713
JAK_mStat_Pathway	JAK mStat Main Pathway	0	0	0.547180601	0	-0.035476612	0	0.497163368	0	0	0	-1.058825515	1.360146621	0.828881879	-0.665950454	-0.946433827	0	-0.494169293	-0.991558097	1.669966812	0	0.620466101	0.405861836	1.672247178	0.817993905	2.985131238	0.531789366	1.674708227	0	1.846937194	0.135004596	0.548910362	0	1.498892459	0.000677373	0.004467439	1.013807359	1.013807359
mTOR_Pathway_Actin_organization	mTOR Pathway (Actin organization)	0	0	0	0	0	0	0.431636399	0	0	0	-1.01169585	1.088924944	0	0	0	0	0	-0.588639143	0.740973292	0	1.933559872	0.524070521	1.394960015	1.201410547	1.044171974	0	1.296716995	0	1.431686726	0.639124813	1.991995989	0	0.504972736	0.000677373	0.004467439	0.851341435	0.851341435
GSK3_Pathway_Degradation	GSK3 Pathway (Degradation)	0	-0.638219264	-0.575836926	0	-1.364272946	1.236545462	-0.882818221	0	0	-1.23603292	2.730830259	-1.714653987	-1.364279835	1.381669846	0.646154166	-0.998269945	0.401404614	1.173051177	-2.622275226	-0.638219264	-0.490296796	-1.570000179	-1.782552426	-1.751279638	-3.730002645	-1.480068264	-2.725553809	1.150583746	-1.795299409	-1.579027786	-2.161744327	0	-1.706341941	0.000824772	0.005192317	-1.458542502	1.458542502
Wnt_Pathway_Ctnn.b_Degradation	Wnt Pathway (Ctnn-b Degradation)	0	0.638219264	0.575836926	0	1.364272946	-1.236545462	0.882818221	0	0	1.23603292	-2.730830259	1.714653987	1.364279835	-1.381669846	-0.646154166	0.998269945	-0.401404614	-1.173051177	2.622275226	0.638219264	0.490296796	1.570000179	1.782552426	1.751279638	3.730002645	1.480068264	2.725553809	-1.150583746	1.795299409	1.579027786	2.161744327	0	1.706341941	0.000824772	0.005192317	1.458542502	1.458542502
CD40_Pathway_Gene_Expression	CD40 Pathway (Gene Expression)	0	0.467921774	0.832298924	0	0.17086533	0	0	0	0	0	-1.42517627	1.239996702	0.74307661	-0.6005073	0	-0.451239428	-0.630190495	-0.459303125	0.802602559	0.467921774	1.808900646	0.568081005	1.65872963	0.435370837	1.518053116	0.618857128	1.551983963	0	1.279079334	0.408319447	0.537123815	0	0.566375689	0.000939013	0.005780144	0.820996445	0.820996445
Interferon_Pathway	Interferon Main Pathway	0	-0.567338997	-0.474461596	0	0.889969979	0	-0.492165217	-0.542197102	-0.487176546	0	0.794449022	0.476531028	0.559943747	0	0	0	0	0	-1.202467914	-0.567338997	-0.175916224	-0.462097316	-0.557291973	-0.515314237	-0.15145343	-0.407386414	-1.137379017	0	-0.550651158	-0.543055445	-0.603642421	0	-0.617928549	0.001067766	0.006161899	-0.508214557	0.508214557
IP3_Pathway_Gene_Expression	IP3 Pathway (Gene expression)	-0.4929393	0	-2.331645513	-0.420637078	-0.58636769	0	0.061280486	0.355520033	-1.088128747	1.384246921	1.024656149	-1.081689053	-1.17494496	0.49772923	0.512394843	0	-0.449153343	0.778839619	-3.172121487	0	-2.830651177	-2.03925276	-2.937366002	-1.272769938	-2.784721147	-1.089345197	-2.431544618	0.462795602	-1.223459932	-1.059364628	-2.825513339	0.339251666	-1.362291267	0.001067766	0.006161899	-1.447821481	1.447821481
z_mTOR_Pathway	Unknown	-1.424329506	-1.541700297	0.856989538	-0.933127725	-1.178084247	-1.549497828	-0.692373934	-1.397946679	-0.403760257	0.434278458	-6.896115414	3.40892834	4.58563658	0.048792686	-0.080567574	1.835062545	1.04435931	-1.688551912	4.490061828	-1.541700297	6.142879801	1.276500077	6.986515879	3.169256974	8.041992232	0.217233253	4.591442969	-1.105703627	5.694179353	4.950655609	5.130395856	0.090847715	4.144116382	0.001067766	0.006161899	3.794800929	3.794800929
Integrin_SIgnaling_Pathway_Focal_adhesion_and_stress_fibers	Integrin SIgnaling Pathway (Focal adhesion and stress fibers)	0	0	0	0	-1.22900173	-0.46341718	0.493686569	-0.498684923	0	0	-1.212088669	1.291730712	0.612595922	0	0	0	0.520826849	0	2.216839395	0	1.886974189	0.515363842	1.102664204	1.310821012	1.659937887	0	2.052267967	0	1.668497905	1.059967796	1.494060741	0	0.436197546	0.001138096	0.006433724	1.053814635	1.053814635
JAK_mStat_Pathway_JAK_degradation	JAK mStat Pathway (JAK degradation)	0	0.638219264	0	0	1.364272946	-1.236545462	0.421328112	0	0	1.23603292	-2.021438583	1.307318475	1.364279835	-1.381669846	-0.646154166	0.998269945	-0.401404614	-1.173051177	2.003069621	0.638219264	0.490296796	0.931348691	1.253325164	1.751279638	3.213114853	1.480068264	2.280807579	-1.150583746	1.795299409	1.579027786	1.666372552	0	1.271529147	0.001291771	0.007016087	1.254130687	1.254130687
p53_Signaling_m_Pathway_p53_Degradation	p53 Signaling (Negative) Pathway (p53 Degradation)	0	0.638219264	0	0	1.364272946	-1.236545462	0.421328112	0	0	1.23603292	-2.021438583	1.307318475	1.364279835	-1.381669846	-0.646154166	0.998269945	-0.401404614	-1.173051177	2.003069621	0.638219264	0.490296796	0.931348691	1.253325164	1.751279638	3.213114853	1.480068264	2.280807579	-1.150583746	1.795299409	1.579027786	1.666372552	0	1.271529147	0.001291771	0.007016087	1.254130687	1.254130687
